📺央视频道,#genre#
CCTV-1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-5,http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8
CCTV-6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-11,http://ivi.bupt.edu.cn/hls/cctv11hd.m3u8
CCTV-12,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-13,http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8
CCTV-14,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-15,http://ivi.bupt.edu.cn/hls/cctv15hd.m3u8
CCTV-16,http://ivi.bupt.edu.cn/hls/cctv16hd.m3u8
CCTV-17,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CETV-1,http://ivi.bupt.edu.cn/hls/cetv1.m3u8
CETV-2,http://ivi.bupt.edu.cn/hls/cetv2.m3u8
CETV-3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV-4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8

📡卫视频道,#genre#
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zhejianghd.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jiangsu.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dongfanghd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/beijinghd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/guangdonghd.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sichuanhd.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/shandonghd.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hubei.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/shenzhenhd.m3u8

☘️广东频道,#genre#
广东珠江,http://ivi.bupt.edu.cn/hls/zhujiang.m3u8
广东经济,http://ivi.bupt.edu.cn/hls/jingji.m3u8
广东体育,http://ivi.bupt.edu.cn/hls/tiyu.m3u8
广东影视,http://ivi.bupt.edu.cn/hls/yingshi.m3u8
广东少儿,http://ivi.bupt.edu.cn/hls/shaoer.m3u8

☘️浙江频道,#genre#
浙江少儿,http://ivi.bupt.edu.cn/hls/zhejiangshaoer.m3u8
浙江钱江都市,http://ivi.bupt.edu.cn/hls/qianjiang.m3u8
之江纪录,http://ivi.bupt.edu.cn/hls/zhijiang.m3u8
浙江国际,http://ivi.bupt.edu.cn/hls/zhejiangguoji.m3u8
浙江经视,http://ivi.bupt.edu.cn/hls/zhejiangjingshi.m3u8
浙江民生休闲,http://ivi.bupt.edu.cn/hls/zhejiangminsheng.m3u8
浙江教科影视,http://ivi.bupt.edu.cn/hls/zhejiangjiaoke.m3u8
浙江公共新闻,http://ivi.bupt.edu.cn/hls/zhejianggonggong.m3u8

🪁动画频道,#genre#
卡酷动画,http://ivi.bupt.edu.cn/hls/kaku.m3u8
金鹰卡通,http://ivi.bupt.edu.cn/hls/jinying.m3u8

📺湖南频道,#genre#
湖南爱晚,http://ivi.bupt.edu.cn/hls/hunanaiwan.m3u8
湖南娱乐频道,http://ivi.bupt.edu.cn/hls/hunanyule.m3u8
湖南国际频道,http://ivi.bupt.edu.cn/hls/hunanguoji.m3u8
长沙新闻频道,http://ivi.bupt.edu.cn/hls/changshaxinwen.m3u8
