🕘️更新时间,#genre#
2026-01-12 15:33:17,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-1,http://39.134.246.145:80/wh7f454c46tw3359402476_-14003855/000000001000/1000000001000021973/1.m3u8
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-3,http://39.134.246.137:80/wh7f454c46tw3401166284_-1037566048/000000001000/1000000001000011218/1.m3u8
CCTV-4,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-4,http://39.134.246.135:80/wh7f454c46tw3493503745_1402205065/000000001000/1000000002000031664/1.m3u8
CCTV-5,http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8
CCTV-5,http://39.134.246.130/wh7f454c46tw3541986506_-1652100573/000000001000/1000000001000004794/1.m3u8
CCTV-6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-6,http://39.134.246.131:80/wh7f454c46tw3770643471_-177234280/000000001000/1000000001000016466/1.m3u8
CCTV-7,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-7,http://39.134.246.133:80/wh7f454c46tw3902690953_709543140/000000001000/1000000001000017218/1.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-9,http://39.134.246.146:80/wh7f454c46tw3949017349399831044/000000001000/1000000001000028286/1.m3u8
CCTV-10,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-11,http://ivi.bupt.edu.cn/hls/cctv11hd.m3u8
CCTV-12,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-12,http://39.134.246.146:80/wh7f454c46tw4010715664_-1603279925/000000001000/1000000001000001640/1.m3u8
CCTV-13,http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8
CCTV-13,http://39.134.246.137/wh7f454c46tw4039862274_-1124216761/000000001000/1000000002000021303/1.m3u8
CCTV-14,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-14,http://39.134.246.147:80/wh7f454c46tw2077067469_548647814/000000001000/1000000001000021349/1.m3u8
CCTV-15,http://ivi.bupt.edu.cn/hls/cctv15hd.m3u8
CCTV-15,http://39.134.246.137:80/wh7f454c46tw4062283243_-76179979/000000001000/1000000002000008163/1.m3u8
CCTV-16,http://ivi.bupt.edu.cn/hls/cctv16hd.m3u8
CCTV-17,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CETV-1,http://ivi.bupt.edu.cn/hls/cetv1.m3u8
CETV-2,http://ivi.bupt.edu.cn/hls/cetv2.m3u8
CETV-3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV-4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8

📡卫视频道,#genre#
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
湖南卫视,http://39.134.246.145:80/wh7f454c46tw539867098_-357849461/000000001000/1000000001000009115/1.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zhejianghd.m3u8
浙江卫视,http://39.134.246.132:80/wh7f454c46tw611840634_-1847862552/000000001000/1000000001000009806/1.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jiangsu.m3u8
江苏卫视,http://39.134.246.142/wh7f454c46tw658149783_2054431823/000000001000/1000000001000004684/1.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dongfanghd.m3u8
东方卫视,http://39.134.246.143:80/wh7f454c46tw4206762182_-936224352/000000001000/1000000001000030202/1.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/beijinghd.m3u8
北京卫视,http://39.134.246.146:80/wh7f454c46tw73494623_-1437053061/000000001000/1000000001000017156/1.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/guangdonghd.m3u8
广东卫视,http://39.134.246.146:80/wh7f454c46tw1713908636_-1855720960/000000001000/1000000001000028357/1.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sichuanhd.m3u8
四川卫视,http://39.134.246.85:80/wh7f454c46tw414183400_-2130424649/000000001000/1000000002000016825/1.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/shandonghd.m3u8
山东卫视,http://39.134.246.134:80/wh7f454c46tw325884651_1670707669/000000001000/1000000001000012807/1.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hubei.m3u8
湖北卫视,http://39.134.246.136:80/wh7f454c46tw1811872012_1882171282/000000001000/1000000001000010355/1.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/shenzhenhd.m3u8
深圳卫视,http://39.134.246.140:80/wh7f454c46tw1772130501_-745191194/000000001000/1000000001000011645/1.m3u8

☘️广东频道,#genre#
广东珠江,http://ivi.bupt.edu.cn/hls/zhujiang.m3u8
广东经济,http://ivi.bupt.edu.cn/hls/jingji.m3u8
广东体育,http://ivi.bupt.edu.cn/hls/tiyu.m3u8
